CodAsignatura,NombreAsignatura,Seccion,Dia,DiaNumero,BloqueInicio,BloqueFin,AulaAsignada,CapacidadAula,TipoAula,CapacidadRequerida,Clasificacion,Estado
ECS109,Medios de Comunicación Social,2M,Miércoles,3,5,8,E2-3,65,SALON,61,EXISTENTE,ASIGNADA
ECS113,Tecnologías y Gestión de la Información,2M,Jueves,4,5,8,E1-5,65,SALON,61,EXISTENTE,ASIGNADA
EPS515,Técnicas Psicométricas I,1M,Jueves,4,6,8,A1-4,55,SALON,55,EXISTENTE,ASIGNADA
EPS709,Psicoterapia Sistémica Familiar y de Pareja,2M,Martes,2,1,4,A1-2,55,SALON,52,EXISTENTE,ASIGNADA
ECS609,Estadística para Periodismo de Datos,1M,Martes,2,3,4,A1-5,55,SALON,51,EXISTENTE,ASIGNADA
ECS609,Estadística para Periodismo de Datos,1M,Viernes,5,5,6,A1-4,55,SALON,51,EXISTENTE,ASIGNADA
EPS707,Técnicas de Modificación de Conductas,1M,Martes,2,1,4,PG2-5,50,SALON,50,EXISTENTE,ASIGNADA
EPS712,Técnicas Psicométricas II,1M,Viernes,5,1,4,PG2-3,50,SALON,50,EXISTENTE,ASIGNADA
EPS709,Psicoterapia Sistémica Familiar y de Pareja,1M,Jueves,4,3,6,PG2-5,50,SALON,49,EXISTENTE,ASIGNADA
ECS305,Periodismo Informativo II,2M,Jueves,4,1,4,INASS,50,SALON,48,EXISTENTE,ASIGNADA
HLI503,Composición y Estilo I,1T,Lunes,1,9,12,ANP(EVALUACION),45,SALON,44,EXISTENTE,ASIGNADA
EPS210,Oratoria y Lenguaje Expresivo,2M,Martes,2,5,7,ANP(EVALUACION),45,SALON,43,EXISTENTE,ASIGNADA
HLI411,Lectura II,1T,Miércoles,3,9,11,ANP(EVALUACION),45,SALON,43,EXISTENTE,ASIGNADA
HLI610,Inglés V,3T,Lunes,1,4,7,ANP(EVALUACION),45,SALON,43,EXISTENTE,ASIGNADA
ECS513,Periodismo Informativo IV,1M,Miércoles,3,5,8,ANP(EVALUACION),45,SALON,42,EXISTENTE,ASIGNADA
HLI311,Lectura I,1T,Martes,2,9,11,ANP(EVALUACION),45,SALON,42,EXISTENTE,ASIGNADA
SLF703,Métodos de Aplicación III,2T,Martes,2,9,13,S.MULTI,45,SALON,42,EXISTENTE,ASIGNADA
HLI409,Competencias Comunicativas del Inglés IV,2T,Lunes,1,6,8,LAB4,42,SALON,41,EXISTENTE,ASIGNADA
HLI409,Competencias Comunicativas del Inglés IV,2T,Viernes,5,6,8,LAB4,42,SALON,41,EXISTENTE,ASIGNADA
HLI412,Sociolingüística,1T,Jueves,4,5,7,ANP(EVALUACION),45,SALON,41,EXISTENTE,ASIGNADA
HAG7262,Inglés Instrumental,1M,Martes,2,7,9,PG1-1,40,SALON,39,EXISTENTE,ASIGNADA
HAG7262,Inglés Instrumental,3M,Lunes,1,9,11,N2-6,40,SALON,38,EXISTENTE,ASIGNADA
HLI412,Sociolingüística,2T,Jueves,4,2,4,SAL.DIB,40,SALON,37,EXISTENTE,ASIGNADA
HLI508,Inglés IV,1T,Jueves,4,9,12,SAL.DIB,40,SALON,37,EXISTENTE,ASIGNADA
HAG5382,Semiología del Arte,1M,Lunes,1,5,8,LAB3,36,SALON,36,EXISTENTE,ASIGNADA
IIE715,Redes de Dispositivos Computacionales II,1M,Lunes,1,1,2,LAB3,36,SALON,36,EXISTENTE,ASIGNADA
