CodAsignatura,NombreAsignatura,Seccion,Dia,DiaNum,BloqueInicio,BloqueFin,AulaAsignada,CapacidadAula,TipoAula,CapacidadEstimada,Clasificacion,Problematica
HAG7224,Diseño Gráfico IV,3M,Martes,2,1,3,A1-2,55,SALON,33,EXISTENTE,NO
HAG7224,Diseño Gráfico IV,3M,Miércoles,3,3,4,N2-3,45,SALON,33,EXISTENTE,NO
HAG7224,Diseño Gráfico IV,2M,Lunes,1,6,8,R3-3,40,SALON,21,EXISTENTE,NO
SLC207,Química Orgánica,1M,Martes,2,4,5,R2-9,40,SALON,18,EXISTENTE,NO
SLC207,Química Orgánica,1M,Miércoles,3,4,6,V3-4,55,SALON,18,EXISTENTE,NO
SLC307,Introducción al Laboratorio de Anatomía Patológica,1M,Martes,2,3,4,R2-5,45,SALON,15,EXISTENTE,NO
SLC410,Anatomía y Fisiología Veterinaria I,1,Lunes,1,1,3,N2-7,25,SALON,15,EXISTENTE,NO
HAG7224,Diseño Gráfico IV,2501,Jueves,4,1,3,E3-5,36,SALON,14,EXISTENTE,NO
ECS707,Comunicación Publicitaria Internacional,1T,Jueves,4,2,4,R3-2,40,SALON,9,EXISTENTE,NO
SLC507,Anatomía Patológica I,1,Martes,2,5,7,VPB-3,55,SALON,8,EXISTENTE,NO
SLC606,Anatomía Patológica II,1M,Jueves,4,7,9,R3-3,40,SALON,8,EXISTENTE,NO
SLH606,Anatomía Patológica II,1M,Jueves,4,7,9,R3-9,40,SALON,8,EXISTENTE,NO
SLC508,Anatomía y Fisiología Veterinaria II,1,Viernes,5,1,3,N2-7,25,SALON,7,EXISTENTE,NO
SLH410,Anatomía y Fisiología Veterinaria I,1,Lunes,1,1,3,E3-3,30,SALON,5,EXISTENTE,NO
SLH207,Química Orgánica,1,Martes,2,4,5,R3-5,45,SALON,2,EXISTENTE,NO
SLH207,Química Orgánica,1,Miércoles,3,4,5,R3-5,45,SALON,2,EXISTENTE,NO
SLH307,Introducción al Laboratorio de Anatomía Patológica,1,Martes,2,3,4,E1-1,80,SALON,1,EXISTENTE,NO
SLH507,Anatomía Patológica I,1,Martes,2,5,7,E1-2,60,SALON,1,EXISTENTE,NO
SLH508,Anatomía y Fisiología Veterinaria II,1,Viernes,5,1,3,R1-9,45,SALON,1,EXISTENTE,NO
